hal jordan,hjordan@jleague.org,134.218.213.165,103.11.11.80,2016-02-08T21:45:08,49.87458,,NaN
wally west,wwest@jleague.org,134.218.213.202,146.157.216.74,2016-02-08T21:45:54,47.63482,,25668
dick grayson,dgrayson@jleague.org,50.133.32.218,146.157.216.247,2016-02-08T21:46:13,45.77999,8.59699,NA
dick grayson,dgrayson@jleague.org,50.133.32.231,146.157.216.74,2016-02-08T21:46:40,48.44356,12.08197,NA
wally west,wwest@jleague.org,240.237.148.218,8.79.168.234,2016-02-07T21:48:05,47.96539,10.39063,9999
ray palmer,rpalmer@jleague.org,103.11.11.6,146.157.216.247,2016-02-07T21:48:51,48.65536,10.57274,228285
dinah lance,dlance@jleague.org,134.218.213.176,8.79.168.167,2016-02-06T21:49:27,45.83758,11.38426,
ray palmer,rpalmer@jleague.org,103.11.11.6,103.11.11.14,2016-02-06T21:49:40,48.77532,9.23111,
arthur curry,acurry@jleague.org,134.218.213.136,146.157.216.209,2016-02-06T21:49:41,47.96156,9.77076,9999
ray palmer,rpalmer@jleague.org,146.157.216.247,134.218.213.184,2016-02-06T21:50:33,46.54799,9.86555,464457
barry allen,ballen@jleague.org,253.253.228.221,240.237.148.67,2016-02-06T21:52:02,48.64324,10.31537,939808
kyle rayner,krayner@jleague.org,146.157.216.209,8.79.169.212,2016-02-06T21:52:41,46.95482,11.7481,965616
wally west,wwest@jleague.org,240.237.148.218,103.11.11.1,2016-02-06T21:53:59,46.978,8.96294,NaN
billy batson,bbatson@jleague.org,240.237.148.67,103.11.11.116,2016-02-06T21:55:38,45.63115,10.86458,NaN
bruce wayne,bwayne@jleague.org,146.157.217.205,50.133.32.218,2016-02-06T21:56:01,46.04667,11.30075,NaN
bruce wayne,bwayne@jleague.org,253.253.228.10,103.11.11.80,2016-02-06T21:56:56,49.56187,,615108
john jones,jjones@jleague.org,134.218.213.136,50.133.32.231,2016-02-06T21:57:58,49.9035,,702264
victor stone,vstone@jleague.org,240.237.148.218,103.11.11.14,2016-02-06T21:58:18,49.0769,11.46683,402193
clark kent,ckent@jleague.org,103.11.11.1,253.253.228.165,2016-02-06T21:58:55,45.99718,11.94216,118675
kyle rayner,krayner@jleague.org,50.133.32.217,134.218.213.165,2016-02-06T22:00:28,48.94458,11.39854,611507
hal jordan,hjordan@jleague.org,50.133.32.231,240.237.148.218,2016-02-06T22:01:07,46.1367,9.14731,176635
kara zor-el,kzor-el@jleague.org,103.11.11.77,50.133.32.252,2016-02-06T22:02:38,46.90177,9.55941,874826
barry allen,ballen@jleague.org,240.237.148.117,50.133.32.231,2016-02-06T22:04:13,49.97065,11.66705,351134
hal jordan,hjordan@jleague.org,103.11.11.1,103.11.11.116,2016-02-05T22:05:39,47.42999,10.74954,56880
john jones,jjones@jleague.org,240.237.148.117,50.133.32.218,2016-02-05T22:07:12,47.86183,12.18754,440100
ray palmer,rpalmer@jleague.org,8.79.169.212,8.79.169.212,2016-02-05T22:07:33,46.51447,9.82183,882024
kara zor-el,kzor-el@jleague.org,240.237.148.218,146.157.216.74,2016-02-05T22:08:00,45.80625,9.18201,815887
wally west,wwest@jleague.org,50.133.32.231,134.218.213.202,2016-02-05T22:08:17,46.70043,11.09427,437230
selina kyle,skyle@jleague.org,146.157.216.74,103.11.11.77,2016-02-04T22:09:38,48.00976,11.94776,576378
bruce wayne,bwayne@jleague.org,8.79.169.212,146.157.216.209,2016-02-04T22:11:16,47.74384,11.49366,577344
dick grayson,dgrayson@jleague.org,253.253.228.26,134.218.213.176,2016-02-03T22:12:23,49.37373,9.61708,901624
john constantine,jconstantine@jleague.org,253.253.228.165,253.253.228.221,2016-02-02T22:12:59,49.70779,8.73732,239025
john constantine,jconstantine@jleague.org,134.218.213.136,134.218.213.202,2016-02-02T22:13:00,47.52848,8.40598,522524
kyle rayner,krayner@jleague.org,8.79.168.234,50.133.32.252,2016-02-01T22:13:46,46.42632,11.94927,89638
john constantine,jconstantine@jleague.org,253.253.228.221,103.11.11.6,2016-02-01T22:14:14,46.63975,11.08261,857535
barry allen,ballen@jleague.org,240.237.148.218,8.79.169.212,2016-01-31T22:15:43,48.94385,9.47193,625069
arthur curry,acurry@jleague.org,50.133.32.217,253.253.228.10,2016-01-30T22:15:44,47.74288,11.57807,768898
wally west,wwest@jleague.org,103.11.11.77,8.79.168.234,2016-01-30T22:16:08,47.62135,12.24556,514319
dinah lance,dlance@jleague.org,253.253.228.165,134.218.213.165,2016-01-30T22:16:28,46.31771,7.65311,927023
bruce wayne,bwayne@jleague.org,134.218.213.176,8.79.168.234,2016-01-29T22:17:58,46.53093,10.50109,40469
dick grayson,dgrayson@jleague.org,8.79.168.234,8.79.168.234,2016-01-28T22:19:05,47.24348,12.32256,152873
bruce wayne,bwayne@jleague.org,253.253.228.165,50.133.32.218,2016-01-28T22:20:18,47.99286,11.59549,871166
selina kyle,skyle@jleague.org,103.11.11.80,240.237.148.67,2016-01-28T22:20:51,47.41971,11.77813,684421
ray palmer,rpalmer@jleague.org,103.11.11.1,146.157.216.209,2016-01-28T22:22:06,49.80235,11.26456,470433
dinah lance,dlance@jleague.org,50.133.32.231,50.133.32.217,2016-01-28T22:22:46,47.4397,8.10762,57717
diana prince,dprince@jleague.org,103.11.11.116,103.11.11.6,2016-01-27T22:23:49,48.55015,11.34511,760071
wally west,wwest@jleague.org,134.218.213.202,240.237.148.218,2016-01-27T22:25:05,47.24529,12.0893,576361
diana prince,dprince@jleague.org,134.218.213.202,240.237.148.67,2016-01-27T22:25:50,49.10188,11.89172,908687
kara zor-el,kzor-el@jleague.org,134.218.213.202,50.133.32.217,2016-01-26T22:27:03,46.72009,10.48126,916882
john constantine,jconstantine@jleague.org,240.237.148.222,8.79.169.212,2016-01-26T22:28:22,48.15029,8.97294,778124
hal jordan,hjordan@jleague.org,240.237.148.67,50.133.32.252,2016-01-26T22:29:44,49.96018,8.92428,875859
selina kyle,skyle@jleague.org,253.253.228.165,134.218.213.184,2016-01-26T22:30:18,46.23287,10.64489,107813
arthur curry,acurry@jleague.org,146.157.216.209,146.157.217.205,2016-01-26T22:31:56,46.11193,7.74322,692218
kara zor-el,kzor-el@jleague.org,240.237.148.222,240.237.148.67,2016-01-25T22:32:20,46.4396,10.28712,628561
hal jordan,hjordan@jleague.org,50.133.32.252,103.11.11.77,2016-01-25T22:32:34,47.66793,8.05458,986959
ray palmer,rpalmer@jleague.org,50.133.32.218,134.218.213.176,2016-01-25T22:33:40,47.61516,10.85776,902428
ray palmer,rpalmer@jleague.org,146.157.216.74,240.237.148.117,2016-01-25T22:34:43,45.97118,7.90699,691597
billy batson,bbatson@jleague.org,253.253.228.165,8.79.168.234,2016-01-25T22:36:22,49.79686,8.52093,949786
clark kent,ckent@jleague.org,103.11.11.6,253.253.228.10,2016-01-25T22:37:34,49.53744,8.25882,781778
john jones,jjones@jleague.org,253.253.228.26,253.253.228.165,2016-01-25T22:38:20,49.70139,11.69218,534916
selina kyle,skyle@jleague.org,8.79.169.212,134.218.213.202,2016-01-24T22:38:32,49.73471,10.61262,255981
kara zor-el,kzor-el@jleague.org,146.157.216.74,103.11.11.1,2016-01-23T22:39:05,49.14558,9.70936,478549
kyle rayner,krayner@jleague.org,134.218.213.136,50.133.32.217,2016-01-23T22:39:19,49.74134,9.75972,141652
john jones,jjones@jleague.org,8.79.168.167,50.133.32.252,2016-01-23T22:40:27,47.07372,10.92696,972
john jones,jjones@jleague.org,240.237.148.117,8.79.169.212,2016-01-23T22:41:19,46.79961,10.89504,716916
john jones,jjones@jleague.org,134.218.213.202,253.253.228.165,2016-01-23T22:41:59,48.98342,10.53784,442059
barbara gordon,bgordon@jleague.org,253.253.228.165,134.218.213.184,2016-01-23T22:42:55,45.07116,10.50784,221765
